"","Name","n","MeanLeadTime","MeanGoal","MeanRevenue","MeanFundraising","MeanSelfDonnation","DistanceTraveled","FinanciallyCont","SelfDonated","Fundraised","ModifiedGoal","Onteam","UpdatedPersonalPage","SentEmails","CompletedReg","ProvidedParticipationReason","MeanTeamGoal","RepeatParticipant"
"1","0002c45b12a7db5e2ec542b85a0d1bba9a9d44d3",1,-1.852083333,0,0,0,0,0,"No","No","No","Yes","No","No","No","No","No",0,"No"
"2","0003159d3cb5105563c35ccc6e307c546d139d3b",1,97.76527778,250,0,0,0,28.47028473,"No","No","No","No","Yes","No","No","No","Yes",300,"No"
"3","000662346d7c0c109c2b5157ef0bcca94e4ea276",1,14.325,250,0,0,0,14.40882745,"No","No","No","No","Yes","No","No","No","No",0,"No"
"4","0015bbb6d23029c0fd150e68ee983ec55e552327",1,1.883333333,250,0,0,0,14.56109296,"No","No","No","No","Yes","No","No","No","No",1500,"No"
"5","0016070d6de9cfaa4fcbfd66859b946bf9fcc762",1,17.64375,250,0,0,0,12.31681969,"No","No","No","No","Yes","No","No","Yes","Yes",0,"No"
"6","00180243196a3199f0978eb9a2221b8beb7a852f",1,-10.81944444,0,0,0,0,49.94911856,"No","No","No","Yes","No","No","No","No","No",0,"No"
"7","0022fe134350021b4ac1b089299fc5095cf49e6c",1,-10.81944444,0,0,0,0,3.800490741,"No","No","No","Yes","No","No","No","No","No",0,"No"
"8","00257f5c39582825e37dcf22add4de2f7b9e298b",1,87.78472222,250,0,0,0,4.308053158,"No","No","No","No","Yes","No","No","No","Yes",0,"No"
"9","0027f269744c5921e0f14d163b946bed25b35f99",1,19.72291667,250,35,0,35,13.28729255,"Yes","Yes","No","No","Yes","No","No","No","No",500,"No"
"10","00432daf8ec7df4d51db21fd58f4b550c8ed045f",1,60.925,100,0,0,0,4.308053158,"No","No","No","Yes","Yes","Yes","No","No","No",1000,"No"
"11","004a7cb418779f1646064dd10aa7b020adf35fb3",1,17.78263889,36,36,0,36,0,"Yes","Yes","No","Yes","Yes","No","No","No","No",10000,"No"
"12","0051adf8f52b81df4538ab7e255fc051ed71740d",1,-5.088888889,0,100,100,0,5.295124158,"Yes","No","Yes","Yes","No","No","No","No","No",0,"No"
"13","005db36a10efac58e8917f5f83053e6cce6dce57",1,-10.81944444,0,0,0,0,19.45792376,"No","No","No","Yes","No","No","No","No","No",0,"No"
"14","00648624800bbd91121ad966b9f14021f85d8db7",1,51.45694444,0,0,0,0,25.27931919,"No","No","No","Yes","Yes","Yes","No","No","No",0,"No"
"15","006793c32c5242f56172981ffcdd7d11c9bc8565",1,1.706944444,250,0,0,0,6.717672172,"No","No","No","No","Yes","No","No","No","No",0,"No"
"16","0073bf76d9ecbdb105b4f5f386b9f461b24d2a20",1,-2.21875,0,100,100,0,14.57033895,"Yes","No","Yes","Yes","No","No","No","No","No",0,"No"
"17","007c24bf0c06793ca3344d6b9d26a5012e7e7725",1,23.16597222,50,0,0,0,14.64981579,"No","No","No","Yes","Yes","No","No","No","No",0,"No"
"18","009a08120417b08e00fbf550ca940f7651c478b5",1,-3.202083333,0,0,0,0,9.800374682,"No","No","No","Yes","No","No","No","No","No",0,"No"
"19","009de65b20c1bcaed8a2fb1bb76d165c525164a7",1,24.92569444,250,250,0,250,8.810848157,"Yes","Yes","No","No","Yes","No","No","No","No",2500,"No"
