"Walk Name","Walk Zip","Zip","lng_start","lat_start","lng_end","lat_end","distance_metres","distance_miles","zip.range"
"2017 Tampa Kidney Walk","33602","33556",-82.46,27.95,-82.6,28.2,31041.7259550662,19.2884282984255,"[0-50]"
"2017 Tampa Kidney Walk","33602","34669",-82.46,27.95,-82.61,28.35,46898.6604305826,29.1414675304115,"[0-50]"
"2017 Tampa Kidney Walk","33602","19422",-82.46,27.95,-75.28,40.16,1510575.06552219,938.627539038588,"[151-3000]"
"2017 Tampa Kidney Walk","33602","34677",-82.46,27.95,-82.68,28.04,23832.7581791434,14.8089847825325,"[0-50]"
"2017 Tampa Kidney Walk","33602","34209",-82.46,27.95,-82.64,27.49,54192.0732440888,33.6733827437527,"[0-50]"
"2017 Tampa Kidney Walk","33602","33606",-82.46,27.95,-82.46,27.93,2226.38981586542,1.38341406627411,"[0-50]"
"2017 Tampa Kidney Walk","33602","34655",-82.46,27.95,-82.63,28.23,35359.0685722616,21.9710997978148,"[0-50]"
"2017 Tampa Kidney Walk","33602","32807",-82.46,27.95,-81.3,28.55,131908.542800095,81.964143148238,"[51-100]"
"2017 Tampa Kidney Walk","33602","34677",-82.46,27.95,-82.68,28.04,23832.7581791434,14.8089847825325,"[0-50]"
"2017 Tampa Kidney Walk","33602","33634",-82.46,27.95,-82.54,28,9635.23468796435,5.9870554132951,"[0-50]"
"2017 Tampa Kidney Walk","33602","33542",-82.46,27.95,-82.18,28.23,41565.2586941851,25.8274463600645,"[0-50]"
"2017 Tampa Kidney Walk","33602","33615",-82.46,27.95,-82.58,28,13044.5327596554,8.10549436539981,"[0-50]"
"2017 Tampa Kidney Walk","33602","32257",-82.46,27.95,-81.6,30.19,263017.029337241,163.431154536311,"[151-3000]"
"2017 Tampa Kidney Walk","33602","33702",-82.46,27.95,-82.63,27.85,20090.6518743389,12.4837484458099,"[0-50]"
"2017 Tampa Kidney Walk","33602","34677",-82.46,27.95,-82.68,28.04,23832.7581791434,14.8089847825325,"[0-50]"
"2017 Tampa Kidney Walk","33602","33594",-82.46,27.95,-82.24,27.94,21663.2850433384,13.4609370906642,"[0-50]"
"2017 Tampa Kidney Walk","33602","33706",-82.46,27.95,-82.75,27.74,36895.6805354358,22.9259059099843,"[0-50]"
"2017 Tampa Kidney Walk","33602","33756",-82.46,27.95,-82.79,27.94,32471.078803073,20.1765867069443,"[0-50]"
"2017 Tampa Kidney Walk","33602","34677",-82.46,27.95,-82.68,28.04,23832.7581791434,14.8089847825325,"[0-50]"
"2017 Tampa Kidney Walk","33602","34609",-82.46,27.95,-82.51,28.48,59202.8375121346,36.7869263477526,"[0-50]"
"2017 Tampa Kidney Walk","33602","33704",-82.46,27.95,-82.63,27.8,23636.0677061127,14.6867670266149,"[0-50]"
"2017 Tampa Kidney Walk","33602","33756",-82.46,27.95,-82.79,27.94,32471.078803073,20.1765867069443,"[0-50]"
"2017 Tampa Kidney Walk","33602","33703",-82.46,27.95,-82.62,27.82,21383.8311631887,13.2872925537017,"[0-50]"
"2017 Tampa Kidney Walk","33602","34691",-82.46,27.95,-82.76,28.19,39775.8455871402,24.7155569483269,"[0-50]"
"2017 Tampa Kidney Walk","33602","33609",-82.46,27.95,-82.52,27.94,6004.45636643668,3.73099505686912,"[0-50]"
"2017 Tampa Kidney Walk","33602","34654",-82.46,27.95,-82.63,28.3,42385.9623602851,26.3374078177727,"[0-50]"
"2017 Tampa Kidney Walk","33602","34690",-82.46,27.95,-82.72,28.19,36959.4174493494,22.9655101799197,"[0-50]"
"2017 Tampa Kidney Walk","33602","34233",-82.46,27.95,-82.47,27.28,74590.5809170877,46.3484238550317,"[0-50]"
"2017 Tampa Kidney Walk","33602","33510",-82.46,27.95,-82.3,27.96,15772.1790717971,9.80037468202161,"[0-50]"
"2017 Tampa Kidney Walk","33602","33896",-82.46,27.95,-81.57,28.27,94369.1415583691,58.6382478592654,"[51-100]"
"2017 Tampa Kidney Walk","33602","34639",-82.46,27.95,-82.4,28.3,39404.5855685017,24.4848667392855,"[0-50]"
"2017 Tampa Kidney Walk","33602","34231",-82.46,27.95,-82.52,27.26,77038.1518708317,47.8692734661306,"[0-50]"
"2017 Tampa Kidney Walk","33602","34231",-82.46,27.95,-82.52,27.26,77038.1518708317,47.8692734661306,"[0-50]"
"2017 Tampa Kidney Walk","33602","33578",-82.46,27.95,-82.35,27.84,16342.1682602377,10.1545494340321,"[0-50]"
"2017 Tampa Kidney Walk","33602","33881",-82.46,27.95,-81.71,28.06,74723.5493689564,46.4310465949378,"[0-50]"
"2017 Tampa Kidney Walk","33602","33606",-82.46,27.95,-82.46,27.93,2226.38981586542,1.38341406627411,"[0-50]"
